Rpm,Vibration,Temperature,Pressure,Condition,Reason
4178,2468,66,89,Bad,High Pressure and High Vibration
6762,483,-12,63,Bad,High pressure
18815,4845,4,60,Bad,High Pressure and High Vibration
19033,605,8,104,Bad,High pressure
6508,981,-17,38,Bad,High pressure
16157,719,91,63,Bad,RPM and Temperature are high
18892,3591,-13,47,Bad,High Pressure and High Vibration
7483,128,75,27,Bad,Low pressure
11332,852,55,15,Bad,Low pressure
15759,2776,36,131,Bad,High Pressure and High Vibration
10221,2383,77,39,Bad,High Pressure and High Vibration
10430,3408,39,120,Bad,High Pressure and High Vibration
15189,893,56,22,Bad,Low pressure
13058,2259,-19,48,Bad,High Pressure and High Vibration
11402,1884,41,98,Bad,High Pressure and High Vibration
5364,4535,6,110,Bad,High Pressure and High Vibration
14977,1087,7,57,Bad,High Pressure and High Vibration
750,4424,85,66,Bad,High Pressure and High Vibration
7574,2725,30,126,Bad,High Pressure and High Vibration
18504,2542,45,88,Bad,High Pressure and High Vibration
7890,4105,-18,31,Bad,High vibration
9779,3781,81,112,Bad,High Pressure and High Vibration
3506,1692,63,105,Bad,High Pressure and High Vibration
19625,2210,94,76,Bad,Your tyre is completely in bad condition
3343,1689,4,41,Bad,High Pressure and High Vibration
13392,1470,9,83,Bad,High Pressure and High Vibration
10712,1793,40,51,Bad,High Pressure and High Vibration
12086,310,-21,88,Bad,High pressure
17733,1551,31,40,Bad,High Pressure and High Vibration
2388,4113,93,86,Bad,High Pressure and High Vibration
19145,3429,85,35,Bad,Tyre wearout and Engine Failure
976,2768,32,103,Bad,High Pressure and High Vibration
12409,544,-8,31,Bad,High rpm
4339,2826,104,61,Bad,High Pressure and High Vibration
18667,716,62,38,Bad,High pressure
7508,222,-36,56,Bad,High pressure
19521,4159,112,34,Bad,Tyre wearout and Engine Failure
2601,556,52,64,Bad,High pressure
12250,3465,61,65,Bad,High Pressure and High Vibration
1817,4539,8,62,Bad,High Pressure and High Vibration
2252,3464,-34,89,Bad,High Pressure and High Vibration
3167,1711,38,63,Bad,High Pressure and High Vibration
14240,4327,-18,60,Bad,High Pressure and High Vibration
13804,3364,-32,36,Bad,High Pressure and High Vibration
230,2308,42,70,Bad,High Pressure and High Vibration
11921,690,59,92,Bad,High pressure
2345,868,-1,60,Bad,Tyre Bursting
8080,4595,2,69,Bad,High Pressure and High Vibration
2138,3386,91,34,Bad,Tyre Bursting
15889,768,58,86,Bad,High pressure
832,1096,-28,30,Bad,Tyre Bursting
5048,4609,51,68,Bad,High Pressure and High Vibration
18739,4176,84,76,Bad,High Pressure and High Vibration
1187,3033,-9,47,Bad,High Pressure and High Vibration
14098,4874,13,38,Bad,High Pressure and High Vibration
14458,69,64,29,Bad,High rpm
14650,3968,-29,57,Bad,High Pressure and High Vibration
2772,1937,-8,101,Bad,High Pressure and High Vibration
9484,1429,1,46,Bad,High Pressure and High Vibration
15573,4187,80,51,Bad,High Pressure and High Vibration
14798,1620,78,113,Bad,High Pressure and High Vibration
7758,3883,99,33,Bad,Tyre Bursting
2982,2324,102,75,Bad,High Pressure and High Vibration
12120,2294,-4,119,Bad,High Pressure and High Vibration
18039,764,53,108,Bad,High pressure
3403,3054,111,32,Bad,Tyre Bursting
13563,2945,-29,66,Bad,High Pressure and High Vibration
8474,4448,119,37,Bad,High Pressure and High Vibration
19779,4107,71,67,Bad,High Pressure and High Vibration
7716,2354,48,23,Bad,Low pressure
10258,537,0,91,Bad,High pressure
18096,4779,42,57,Bad,High Pressure and High Vibration
16686,4849,73,81,Bad,High Pressure and High Vibration
2898,1635,76,111,Bad,High Pressure and High Vibration
5345,4504,72,55,Bad,High Pressure and High Vibration
15441,1476,68,111,Bad,High Pressure and High Vibration
5990,3379,112,25,Bad,Tyre Bursting
4668,4349,39,69,Bad,High Pressure and High Vibration
3597,2630,92,87,Bad,High Pressure and High Vibration
7535,4745,-34,15,Bad,Tyre blowout
12747,2811,65,102,Bad,High Pressure and High Vibration
17495,1667,19,56,Bad,High Pressure and High Vibration
18038,755,-24,55,Bad,High pressure
12707,4722,-21,45,Bad,High Pressure and High Vibration
16523,3410,43,63,Bad,High Pressure and High Vibration
14665,4408,-39,53,Bad,High Pressure and High Vibration
728,2617,36,129,Bad,High Pressure and High Vibration
7187,3481,81,88,Bad,High Pressure and High Vibration
7192,2821,9,78,Bad,High Pressure and High Vibration
179,1008,-26,107,Bad,High Pressure and High Vibration
14153,1312,34,49,Bad,High Pressure and High Vibration
17821,2176,115,25,Bad,Tyre wearout and Engine Failure
5714,4879,74,105,Bad,High Pressure and High Vibration
17363,4860,53,81,Bad,High Pressure and High Vibration
11830,3302,73,119,Bad,High Pressure and High Vibration
17089,1325,92,43,Bad,Your tyre is completely in bad condition
9537,940,-19,40,Bad,High pressure
15045,3451,109,125,Bad,Your tyre is completely in bad condition
13307,2345,28,110,Bad,High Pressure and High Vibration
12968,36,33,61,Bad,High pressure
9758,491,51,39,Bad,High pressure
2069,3367,31,95,Bad,High Pressure and High Vibration
2450,3473,-26,32,Bad,Tyre Bursting
13507,499,-14,37,Bad,High pressure
7421,4428,13,22,Bad,Low pressure
5304,1220,107,17,Bad,Tyre Bursting
16821,727,45,125,Bad,High pressure
2273,1497,18,92,Bad,High Pressure and High Vibration
4120,2721,81,66,Bad,High Pressure and High Vibration
856,1645,114,110,Bad,High Pressure and High Vibration
19587,1084,-35,33,Bad,Tyre wearout and Engine Failure
15835,1897,98,102,Bad,Your tyre is completely in bad condition
13092,1216,-13,30,Bad,Tyre wearout and Engine Failure
7771,109,96,105,Bad,Tyre Bursting
819,777,36,41,Bad,High pressure
3366,2010,116,68,Bad,High Pressure and High Vibration
15932,2385,9,104,Bad,High Pressure and High Vibration
455,2427,18,98,Bad,High Pressure and High Vibration
1470,2448,22,34,Bad,Low rpm
16590,1259,96,122,Bad,Your tyre is completely in bad condition
9205,3306,114,17,Bad,Tyre Bursting
13001,1397,83,42,Bad,High Pressure and High Vibration
9484,1787,88,47,Bad,High Pressure and High Vibration
7054,11,48,35,Good,All parameters are within optimal ranges
5572,881,47,40,Bad,High pressure
12763,2989,43,127,Bad,High Pressure and High Vibration
17969,2305,16,15,Bad,Tyre wearout and Engine Failure
6517,2671,117,102,Bad,High Pressure and High Vibration
12834,2259,107,32,Bad,Tyre wearout and Engine Failure
6383,1920,106,21,Bad,Tyre Bursting
3495,2643,13,75,Bad,High Pressure and High Vibration
17606,3375,77,77,Bad,High Pressure and High Vibration
4658,2745,-30,113,Bad,High Pressure and High Vibration
6201,2947,-11,34,Bad,High vibration
13049,108,35,68,Bad,High pressure
3722,1988,37,62,Bad,High Pressure and High Vibration
9870,147,67,34,Good,All parameters are within optimal ranges
12738,784,-11,30,Bad,High rpm
13339,2539,118,52,Bad,Your tyre is completely in bad condition
13431,3917,-37,27,Bad,Tyre wearout and Engine Failure
17423,4360,15,41,Bad,High Pressure and High Vibration
13901,3539,59,36,Bad,High Pressure and High Vibration
11479,638,-4,122,Bad,High pressure
5143,4005,33,52,Bad,High Pressure and High Vibration
1407,872,114,79,Bad,Tyre Bursting
14123,606,116,17,Bad,RPM and Temperature are high
8124,3192,62,22,Bad,Low pressure
10621,3842,-31,72,Bad,High Pressure and High Vibration
1672,4109,43,41,Bad,High Pressure and High Vibration
6598,4197,119,51,Bad,High Pressure and High Vibration
15392,256,61,119,Bad,High pressure
17217,2060,56,127,Bad,High Pressure and High Vibration
11152,2284,19,41,Bad,High Pressure and High Vibration
14697,4455,77,34,Bad,Tyre wearout and Engine Failure
4216,2320,107,130,Bad,High Pressure and High Vibration
6947,230,10,62,Bad,High pressure
8829,1552,-7,87,Bad,High Pressure and High Vibration
7454,4217,48,37,Bad,High Pressure and High Vibration
13084,3253,28,62,Bad,High Pressure and High Vibration
11541,396,19,59,Bad,High pressure
14067,4883,105,75,Bad,Your tyre is completely in bad condition
5814,4403,36,36,Bad,High Pressure and High Vibration
13806,4812,-11,86,Bad,High Pressure and High Vibration
3267,2042,49,62,Bad,High Pressure and High Vibration
9230,1697,112,90,Bad,High Pressure and High Vibration
7366,93,108,98,Bad,Tyre Bursting
12226,1344,-26,46,Bad,High Pressure and High Vibration
16671,3728,-17,77,Bad,High Pressure and High Vibration
11899,1697,97,46,Bad,Your tyre is completely in bad condition
19225,3733,-38,89,Bad,High Pressure and High Vibration
9186,3003,-17,31,Bad,High vibration
16484,399,-3,41,Bad,High pressure
10515,2341,-25,118,Bad,High Pressure and High Vibration
8973,477,121,90,Bad,Tyre Bursting
15889,4668,9,46,Bad,High Pressure and High Vibration
11654,568,-14,19,Bad,Tyre blowout
9227,4553,61,82,Bad,High Pressure and High Vibration
14056,981,59,117,Bad,High pressure
5065,332,65,107,Bad,High pressure
17339,1906,-5,28,Bad,Tyre wearout and Engine Failure
12760,367,2,116,Bad,High pressure
4451,3546,62,104,Bad,High Pressure and High Vibration
15498,921,45,53,Bad,High pressure
16592,2199,92,46,Bad,Your tyre is completely in bad condition
8648,2401,32,106,Bad,High Pressure and High Vibration
15131,4186,23,65,Bad,High Pressure and High Vibration
15734,2951,-22,56,Bad,High Pressure and High Vibration
3297,4277,57,15,Bad,Low pressure
17979,292,1,109,Bad,High pressure
7555,841,1,79,Bad,High pressure
16083,4529,52,30,Bad,Tyre wearout and Engine Failure
3424,4916,9,116,Bad,High Pressure and High Vibration
9561,157,78,91,Bad,High pressure
5882,3721,-35,24,Bad,Tyre blowout
13699,3919,22,128,Bad,High Pressure and High Vibration
13682,4717,83,60,Bad,High Pressure and High Vibration
6908,492,-34,120,Bad,High pressure
3428,3185,-9,111,Bad,High Pressure and High Vibration
11509,574,36,48,Bad,High pressure
10744,2158,-9,42,Bad,High Pressure and High Vibration
19133,1568,28,51,Bad,High Pressure and High Vibration
18041,1284,28,32,Bad,Tyre wearout and Engine Failure
3366,569,-6,118,Bad,Tyre Bursting
3804,3516,111,71,Bad,High Pressure and High Vibration
7594,3206,66,120,Bad,High Pressure and High Vibration
7998,3153,4,19,Bad,Tyre blowout
3952,4153,9,107,Bad,High Pressure and High Vibration
9194,2661,106,104,Bad,High Pressure and High Vibration
17357,4544,88,69,Bad,High Pressure and High Vibration
9991,1247,38,99,Bad,High Pressure and High Vibration
2930,1924,53,118,Bad,High Pressure and High Vibration
6311,1548,0,110,Bad,High Pressure and High Vibration
8455,2473,8,108,Bad,High Pressure and High Vibration
1765,4028,101,60,Bad,High Pressure and High Vibration
9086,4508,33,54,Bad,High Pressure and High Vibration
15230,4718,31,61,Bad,High Pressure and High Vibration
10198,1653,-34,95,Bad,High Pressure and High Vibration
1512,1041,61,22,Bad,Low pressure
19887,2552,121,24,Bad,Tyre wearout and Engine Failure
13958,235,45,95,Bad,High pressure
5685,3317,46,66,Bad,High Pressure and High Vibration
3969,4307,1,48,Bad,High Pressure and High Vibration
17658,2147,40,30,Bad,Tyre wearout and Engine Failure
18143,2951,2,123,Bad,High Pressure and High Vibration
1989,885,55,80,Bad,High pressure
17916,2827,35,31,Bad,Tyre wearout and Engine Failure
3357,3777,111,119,Bad,High Pressure and High Vibration
3524,4507,31,67,Bad,High Pressure and High Vibration
5994,4439,-3,77,Bad,High Pressure and High Vibration
18984,4045,-2,114,Bad,High Pressure and High Vibration
4902,251,-18,116,Bad,Tyre Bursting
10875,4599,84,17,Bad,Tyre wearout and Engine Failure
9167,2126,117,105,Bad,High Pressure and High Vibration
8131,4263,-32,22,Bad,Tyre blowout
7388,3476,-6,30,Bad,High vibration
47,362,58,52,Bad,High pressure
11096,992,9,71,Bad,High pressure
9231,3301,77,129,Bad,High Pressure and High Vibration
18432,1415,-23,49,Bad,High Pressure and High Vibration
10723,4468,52,118,Bad,High Pressure and High Vibration
1416,3925,87,86,Bad,High Pressure and High Vibration
4064,1122,106,16,Bad,Tyre Bursting
16442,1290,99,45,Bad,Your tyre is completely in bad condition
7066,2800,34,34,Bad,High vibration
5451,4806,-16,53,Bad,High Pressure and High Vibration
516,2571,84,95,Bad,High Pressure and High Vibration
590,3058,4,130,Bad,High Pressure and High Vibration
14196,3528,-37,25,Bad,Tyre wearout and Engine Failure
12099,623,89,30,Bad,High rpm
19051,2979,-37,49,Bad,High Pressure and High Vibration
1659,2794,-11,113,Bad,High Pressure and High Vibration
1596,2264,67,77,Bad,High Pressure and High Vibration
16735,980,4,70,Bad,High pressure
3442,2431,-28,41,Bad,High Pressure and High Vibration
17172,1403,52,66,Bad,High Pressure and High Vibration
6803,1879,10,131,Bad,High Pressure and High Vibration
7871,2166,53,106,Bad,High Pressure and High Vibration
6388,942,-13,103,Bad,High pressure
17705,3134,15,29,Bad,Tyre wearout and Engine Failure
10532,2530,114,86,Bad,Your tyre is completely in bad condition
2877,757,-38,52,Bad,Tyre Bursting
17178,4804,114,97,Bad,Your tyre is completely in bad condition
4823,2262,-10,93,Bad,High Pressure and High Vibration
17322,1904,27,48,Bad,High Pressure and High Vibration
2974,741,1,84,Bad,Tyre Bursting
10747,630,9,98,Bad,High pressure
6684,2685,16,40,Bad,High Pressure and High Vibration
3912,4170,67,52,Bad,High Pressure and High Vibration
1530,149,70,27,Bad,Low pressure
18193,3400,46,29,Bad,Tyre wearout and Engine Failure
4448,1952,57,70,Bad,High Pressure and High Vibration
16210,2126,21,104,Bad,High Pressure and High Vibration
2199,3466,88,92,Bad,High Pressure and High Vibration
8765,1175,-4,31,Bad,High vibration
4299,2428,-6,93,Bad,High Pressure and High Vibration
19293,3686,-22,22,Bad,Tyre wearout and Engine Failure
4067,3276,110,116,Bad,High Pressure and High Vibration
10989,3327,4,83,Bad,High Pressure and High Vibration
13469,107,55,56,Bad,High pressure
4128,2965,2,20,Bad,"Due to lower values, tyre is in bad condition"
4775,3374,-11,31,Bad,Tyre Bursting
3485,617,34,49,Bad,High pressure
32,3769,3,44,Bad,High Pressure and High Vibration
5555,4078,57,16,Bad,Low pressure
13333,1155,-40,99,Bad,High Pressure and High Vibration
15891,3927,30,63,Bad,High Pressure and High Vibration
12318,3064,-16,75,Bad,High Pressure and High Vibration
13372,2700,64,23,Bad,Tyre wearout and Engine Failure
8281,300,61,101,Bad,High pressure
9813,269,88,110,Bad,High pressure
9586,4804,109,51,Bad,High Pressure and High Vibration
2555,491,56,114,Bad,High pressure
13942,4479,1,81,Bad,High Pressure and High Vibration
18348,2591,60,29,Bad,Tyre wearout and Engine Failure
8603,3929,105,76,Bad,High Pressure and High Vibration
11457,4597,21,75,Bad,High Pressure and High Vibration
16615,2873,2,109,Bad,High Pressure and High Vibration
10523,3185,-15,22,Bad,Tyre wearout and Engine Failure
16207,1065,91,127,Bad,Your tyre is completely in bad condition
19926,1416,17,20,Bad,Tyre wearout and Engine Failure
16148,3751,14,18,Bad,Tyre wearout and Engine Failure
4879,2274,-20,23,Bad,"Due to lower values, tyre is in bad condition"
9430,1206,6,103,Bad,High Pressure and High Vibration
9088,3588,6,15,Bad,Tyre blowout
5849,2106,82,104,Bad,High Pressure and High Vibration
1508,1202,-15,129,Bad,High Pressure and High Vibration
8833,2346,-23,52,Bad,High Pressure and High Vibration
15517,4348,48,108,Bad,High Pressure and High Vibration
16038,3752,-36,110,Bad,High Pressure and High Vibration
1335,259,36,25,Bad,Low pressure
8347,3725,67,17,Bad,Low pressure
10173,910,92,116,Bad,RPM and Temperature are high
3607,272,92,59,Bad,Tyre Bursting
19926,694,64,17,Bad,Low pressure
8262,2431,-40,116,Bad,High Pressure and High Vibration
16533,4042,3,84,Bad,High Pressure and High Vibration
17589,1344,79,19,Bad,Tyre wearout and Engine Failure
636,3787,-7,70,Bad,High Pressure and High Vibration
14356,952,20,92,Bad,High pressure
8037,2108,114,42,Bad,High Pressure and High Vibration
12256,1315,52,41,Bad,High Pressure and High Vibration
12798,3682,36,97,Bad,High Pressure and High Vibration
15520,2893,114,38,Bad,Your tyre is completely in bad condition
5799,666,107,113,Bad,Tyre Bursting
5563,3062,104,125,Bad,High Pressure and High Vibration
2796,4728,-13,14,Bad,"Due to lower values, tyre is in bad condition"
18412,2685,118,84,Bad,Your tyre is completely in bad condition
2123,4582,58,117,Bad,High Pressure and High Vibration
19549,1578,11,86,Bad,High Pressure and High Vibration
14255,4190,102,63,Bad,Your tyre is completely in bad condition
13896,1014,102,104,Bad,Your tyre is completely in bad condition
12044,3766,-32,111,Bad,High Pressure and High Vibration
13557,949,88,19,Bad,Low pressure
6950,1381,45,42,Bad,High Pressure and High Vibration
1655,288,111,123,Bad,Tyre Bursting
3678,500,-5,33,Bad,Tyre Bursting
469,1424,107,31,Bad,Tyre Bursting
5351,799,47,50,Bad,High pressure
9229,2475,108,79,Bad,High Pressure and High Vibration
9335,1231,111,78,Bad,High Pressure and High Vibration
15605,2876,-37,131,Bad,High Pressure and High Vibration
7878,4615,-9,67,Bad,High Pressure and High Vibration
4261,2410,-15,100,Bad,High Pressure and High Vibration
10890,3435,-11,70,Bad,High Pressure and High Vibration
13529,2419,64,67,Bad,High Pressure and High Vibration
18757,2936,5,122,Bad,High Pressure and High Vibration
10589,4230,12,82,Bad,High Pressure and High Vibration
10465,406,82,63,Bad,High pressure
17772,1106,96,117,Bad,Your tyre is completely in bad condition
11654,2035,47,34,Bad,Tyre wearout and Engine Failure
9338,1230,31,45,Bad,High Pressure and High Vibration
18770,235,13,16,Bad,Low pressure
8323,2763,7,71,Bad,High Pressure and High Vibration
9945,1359,13,87,Bad,High Pressure and High Vibration
13320,1043,117,51,Bad,Your tyre is completely in bad condition
7156,4146,-5,111,Bad,High Pressure and High Vibration
1065,1275,103,58,Bad,High Pressure and High Vibration
14256,2149,26,34,Bad,Tyre wearout and Engine Failure
5438,1812,49,83,Bad,High Pressure and High Vibration
9967,2773,36,67,Bad,High Pressure and High Vibration
6011,4845,73,33,Bad,High vibration
6989,2124,59,56,Bad,High Pressure and High Vibration
2565,395,68,14,Bad,Low pressure
18236,3281,-39,93,Bad,High Pressure and High Vibration
18067,332,45,77,Bad,High pressure
8635,1322,4,85,Bad,High Pressure and High Vibration
10949,178,87,124,Bad,High pressure
9561,2490,32,93,Bad,High Pressure and High Vibration
19327,55,99,78,Bad,RPM and Temperature are high
13299,3382,100,41,Bad,Your tyre is completely in bad condition
1297,1515,-37,46,Bad,High Pressure and High Vibration
5860,4288,98,82,Bad,High Pressure and High Vibration
12817,3757,41,115,Bad,High Pressure and High Vibration
15470,1002,104,26,Bad,Tyre wearout and Engine Failure
13747,2195,114,57,Bad,Your tyre is completely in bad condition
11679,150,25,24,Bad,Low pressure
13626,4194,2,85,Bad,High Pressure and High Vibration
6683,4421,84,20,Bad,Low pressure
3112,3564,62,63,Bad,High Pressure and High Vibration
7753,93,56,41,Bad,High pressure
6507,4626,115,58,Bad,High Pressure and High Vibration
19398,4100,82,105,Bad,High Pressure and High Vibration
12788,2715,114,113,Bad,Your tyre is completely in bad condition
1257,2273,40,62,Bad,High Pressure and High Vibration
11907,2363,-9,21,Bad,Tyre wearout and Engine Failure
8739,4708,88,18,Bad,Low pressure
13923,2007,-40,62,Bad,High Pressure and High Vibration
16337,3413,43,46,Bad,High Pressure and High Vibration
6896,1761,84,122,Bad,High Pressure and High Vibration
2401,4732,109,27,Bad,Tyre Bursting
7207,4967,20,104,Bad,High Pressure and High Vibration
2412,366,6,36,Bad,Tyre Bursting
1598,198,64,101,Bad,High pressure
18293,4173,106,25,Bad,Tyre wearout and Engine Failure
3385,785,63,91,Bad,High pressure
16228,1941,110,17,Bad,Tyre wearout and Engine Failure
5121,2190,114,74,Bad,High Pressure and High Vibration
8711,1524,-13,52,Bad,High Pressure and High Vibration
6159,33,102,56,Bad,Tyre Bursting
10536,3442,95,16,Bad,Tyre wearout and Engine Failure
19312,1587,3,101,Bad,High Pressure and High Vibration
2129,1815,31,102,Bad,High Pressure and High Vibration
11545,3147,111,112,Bad,Your tyre is completely in bad condition
15818,2542,26,29,Bad,Tyre wearout and Engine Failure
4101,3253,118,105,Bad,High Pressure and High Vibration
6986,1301,26,17,Bad,Low pressure
150,3268,38,115,Bad,High Pressure and High Vibration
15475,1022,-5,101,Bad,High Pressure and High Vibration
11249,2062,9,24,Bad,Tyre wearout and Engine Failure
1678,3931,43,85,Bad,High Pressure and High Vibration
2212,1036,-13,33,Bad,Tyre Bursting
11395,4425,87,126,Bad,High Pressure and High Vibration
12036,4291,-11,93,Bad,High Pressure and High Vibration
7796,3012,9,79,Bad,High Pressure and High Vibration
6084,510,58,69,Bad,High pressure
10647,3425,-37,29,Bad,Tyre wearout and Engine Failure
3258,1666,114,51,Bad,High Pressure and High Vibration
18396,2933,94,115,Bad,Your tyre is completely in bad condition
17373,2675,7,96,Bad,High Pressure and High Vibration
9243,4181,37,107,Bad,High Pressure and High Vibration
3342,1999,1,28,Bad,Tyre Bursting
13297,2767,33,120,Bad,High Pressure and High Vibration
5550,1280,97,20,Bad,Tyre Bursting
19115,678,51,35,Bad,High rpm
11473,2757,77,123,Bad,High Pressure and High Vibration
8773,4567,-35,21,Bad,Tyre blowout
3110,3519,80,129,Bad,High Pressure and High Vibration
16309,2175,-7,107,Bad,High Pressure and High Vibration
18376,766,94,76,Bad,RPM and Temperature are high
13532,735,1,55,Bad,High pressure
8580,4343,9,61,Bad,High Pressure and High Vibration
17124,4090,49,129,Bad,High Pressure and High Vibration
16439,1125,48,100,Bad,High Pressure and High Vibration
11389,2867,35,59,Bad,High Pressure and High Vibration
9175,977,72,24,Bad,Low pressure
7967,4164,-26,19,Bad,Tyre blowout
15902,4973,-36,33,Bad,Tyre wearout and Engine Failure
8298,334,113,21,Bad,Low pressure
6553,2422,100,19,Bad,Tyre Bursting
19809,1379,57,125,Bad,High Pressure and High Vibration
5657,3776,96,112,Bad,High Pressure and High Vibration
13930,4764,41,92,Bad,High Pressure and High Vibration
14017,388,39,74,Bad,High pressure
10641,2338,-18,119,Bad,High Pressure and High Vibration
6051,2088,103,27,Bad,Tyre Bursting
153,2363,31,37,Bad,High Pressure and High Vibration
9935,4838,74,115,Bad,High Pressure and High Vibration
12971,4013,91,125,Bad,Your tyre is completely in bad condition
19678,296,-1,54,Bad,High pressure
18022,1566,89,117,Bad,High Pressure and High Vibration
7601,496,-34,15,Bad,Tyre blowout
1181,1386,99,64,Bad,High Pressure and High Vibration
10487,3917,106,38,Bad,Your tyre is completely in bad condition
4028,4030,119,119,Bad,High Pressure and High Vibration
18740,3509,104,77,Bad,Your tyre is completely in bad condition
9364,3055,76,83,Bad,High Pressure and High Vibration
18855,1921,105,52,Bad,Your tyre is completely in bad condition
2041,1015,87,87,Bad,High Pressure and High Vibration
10615,2371,0,57,Bad,High Pressure and High Vibration
17844,1808,79,31,Bad,Tyre wearout and Engine Failure
7505,729,97,16,Bad,Low pressure
3834,4496,22,123,Bad,High Pressure and High Vibration
9710,3290,50,19,Bad,Low pressure
16745,1741,68,106,Bad,High Pressure and High Vibration
3110,230,36,58,Bad,High pressure
15421,2644,-38,53,Bad,High Pressure and High Vibration
11116,4156,-32,23,Bad,Tyre wearout and Engine Failure
312,1791,51,67,Bad,High Pressure and High Vibration
16155,778,61,24,Bad,Low pressure
6194,2439,13,90,Bad,High Pressure and High Vibration
11466,171,-12,76,Bad,High pressure
14807,1902,33,45,Bad,High Pressure and High Vibration
1492,1214,10,112,Bad,High Pressure and High Vibration
15874,1388,-1,116,Bad,High Pressure and High Vibration
14489,271,-2,82,Bad,High pressure
3322,638,100,125,Bad,Tyre Bursting
2110,3518,-23,24,Bad,"Due to lower values, tyre is in bad condition"
15196,4941,114,96,Bad,Your tyre is completely in bad condition
4855,4191,22,22,Bad,Low pressure
8226,613,116,62,Bad,Tyre Bursting
15589,1362,-37,106,Bad,High Pressure and High Vibration
11093,3315,-18,112,Bad,High Pressure and High Vibration
14887,2908,95,100,Bad,Your tyre is completely in bad condition
15519,4239,-5,58,Bad,High Pressure and High Vibration
19839,4115,-24,107,Bad,High Pressure and High Vibration
11804,3502,-38,23,Bad,Tyre wearout and Engine Failure
1223,4979,-3,21,Bad,"Due to lower values, tyre is in bad condition"
5219,3256,28,113,Bad,High Pressure and High Vibration
5974,1720,68,71,Bad,High Pressure and High Vibration
4297,3338,80,91,Bad,High Pressure and High Vibration
18739,537,18,15,Bad,Low pressure
1200,4196,67,38,Bad,High Pressure and High Vibration
11220,1143,17,108,Bad,High Pressure and High Vibration
12933,4724,8,129,Bad,High Pressure and High Vibration
12989,245,-31,75,Bad,High pressure
8973,1165,-23,126,Bad,High Pressure and High Vibration
19152,2551,100,101,Bad,Your tyre is completely in bad condition
13521,2309,8,122,Bad,High Pressure and High Vibration
6582,2959,96,95,Bad,High Pressure and High Vibration
716,3007,98,61,Bad,High Pressure and High Vibration
2360,4670,56,19,Bad,Low pressure
17038,3467,-1,105,Bad,High Pressure and High Vibration
17281,960,28,47,Bad,High pressure
5483,2206,-24,95,Bad,High Pressure and High Vibration
12573,2320,-22,55,Bad,High Pressure and High Vibration
1748,2982,98,107,Bad,High Pressure and High Vibration
15450,610,-23,110,Bad,High pressure
19485,2997,79,130,Bad,High Pressure and High Vibration
8670,2450,-8,41,Bad,High Pressure and High Vibration
4608,84,-22,38,Bad,Tyre Bursting
10685,4673,48,67,Bad,High Pressure and High Vibration
7039,681,55,120,Bad,High pressure
6481,4474,38,64,Bad,High Pressure and High Vibration
1761,2348,50,43,Bad,High Pressure and High Vibration
14987,4458,115,80,Bad,Your tyre is completely in bad condition
14465,3242,99,84,Bad,Your tyre is completely in bad condition
4788,4219,27,19,Bad,Low pressure
1036,113,65,17,Bad,Low pressure
16087,407,64,50,Bad,High pressure
6479,4452,39,63,Bad,High Pressure and High Vibration
6846,40,34,95,Bad,High pressure
12467,4222,36,79,Bad,High Pressure and High Vibration
16141,2520,106,96,Bad,Your tyre is completely in bad condition
4312,2580,76,81,Bad,High Pressure and High Vibration
5041,955,56,117,Bad,High pressure
3004,4546,51,25,Bad,Low pressure
17625,381,80,29,Bad,High rpm
5500,1265,-15,120,Bad,High Pressure and High Vibration
6883,3282,19,119,Bad,High Pressure and High Vibration
1157,1979,70,123,Bad,High Pressure and High Vibration
19367,3203,31,124,Bad,High Pressure and High Vibration
15232,1265,121,111,Bad,Your tyre is completely in bad condition
4596,1742,9,87,Bad,High Pressure and High Vibration
12202,4791,33,18,Bad,Tyre wearout and Engine Failure
14611,3844,66,54,Bad,High Pressure and High Vibration
2763,3250,7,84,Bad,High Pressure and High Vibration
6293,2422,87,108,Bad,High Pressure and High Vibration
10991,3126,29,54,Bad,High Pressure and High Vibration
11965,180,71,82,Bad,High pressure
6087,4781,74,91,Bad,High Pressure and High Vibration
7884,1621,-25,112,Bad,High Pressure and High Vibration
14755,233,-16,73,Bad,High pressure
14327,1175,-7,63,Bad,High Pressure and High Vibration
10917,2012,-29,92,Bad,High Pressure and High Vibration
15331,4081,67,57,Bad,High Pressure and High Vibration
12036,1272,108,78,Bad,Your tyre is completely in bad condition
946,4904,-37,107,Bad,High Pressure and High Vibration
9595,2027,36,99,Bad,High Pressure and High Vibration
19845,2878,57,83,Bad,High Pressure and High Vibration
18753,3515,104,116,Bad,Your tyre is completely in bad condition
2327,3099,115,34,Bad,Tyre Bursting
9084,3126,5,57,Bad,High Pressure and High Vibration
12838,3118,-24,87,Bad,High Pressure and High Vibration
19844,4232,65,99,Bad,High Pressure and High Vibration
11039,1098,47,60,Bad,High Pressure and High Vibration
7433,480,35,56,Bad,High pressure
18963,2542,100,49,Bad,Your tyre is completely in bad condition
2875,2782,41,38,Bad,High Pressure and High Vibration
10339,2249,-31,122,Bad,High Pressure and High Vibration
18809,3218,-30,33,Bad,Tyre wearout and Engine Failure
17220,2131,112,41,Bad,Your tyre is completely in bad condition
16288,1036,51,33,Bad,Tyre wearout and Engine Failure
3133,3730,2,70,Bad,High Pressure and High Vibration
15751,278,40,83,Bad,High pressure
